id,event_unique_id,occ_date,occ_year,occ_month,occ_dow,occ_doy,occ_day,occ_hour,occ_time_range,division,death,injuries,hood_158,neighbourhood_158
2342,GO-20142145283,2014-05-24,2014,May,Saturday,144,24,20,Evening,D55,1,3,065,Greenwood-Coxwell (65)
2365,GO-20142439822,2014-07-06,2014,July,Sunday,187,6,1,Night,D51,1,1,073,Moss Park (73)
2367,GO-20142452482,2014-07-08,2014,July,Tuesday,189,8,0,Night,D32,1,2,031,Yorkdale-Glen Park (31)
2405,GO-20142905498,2014-09-14,2014,September,Sunday,257,14,0,Night,D43,1,1,141,Golfdale-Cedarbrae-Woburn (141)
2628,GO-20151330701,2015-08-04,2015,August,Tuesday,216,4,3,Night,D14,2,2,163,Fort York-Liberty Village (163)
2672,GO-20151791234,2015-10-17,2015,October,Saturday,290,17,16,Afternoon,D23,1,1,001,West Humber-Clairville (1)
2764,GO-2016120610,2016-01-20,2016,January,Wednesday,20,20,23,Evening,D42,1,1,147,L'Amoreaux West (147)
2778,GO-2016181573,2016-01-31,2016,January,Sunday,31,31,3,Night,D14,2,3,078,Kensington-Chinatown (78)
2928,GO-20161148938,2016-07-01,2016,July,Friday,183,1,5,Night,D14,2,2,078,Kensington-Chinatown (78)
2940,GO-20161229465,2016-07-13,2016,July,Wednesday,195,13,16,Afternoon,D31,1,1,025,Glenfield-Jane Heights (25)
3071,GO-20161855287,2016-10-18,2016,October,Tuesday,292,18,17,Afternoon,D23,1,1,001,West Humber-Clairville (1)
3134,GO-20162210973,2016-12-14,2016,December,Wednesday,349,14,4,Night,D43,1,2,139,Scarborough Village (139)
3351,GO-20171319697,2017-07-23,2017,July,Sunday,204,23,1,Night,D42,2,1,144,Morningside Heights (144)
3364,GO-20171378728,2017-07-31,2017,July,Monday,212,31,23,Evening,D51,1,4,073,Moss Park (73)
3431,GO-20171677843,2017-09-16,2017,September,Saturday,259,16,1,Night,D51,1,1,072,Regent Park (72)
3448,GO-20171828016,2017-10-08,2017,October,Sunday,281,8,23,Evening,D23,1,2,006,Kingsview Village-The Westway (6)
3558,GO-2018113424,2018-01-19,2018,January,Friday,19,19,0,Night,D22,2,2,011,Eringate-Centennial-West Deane (11)
3684,GO-2018907125,2018-05-20,2018,May,Sunday,140,20,3,Night,D43,1,1,135,Morningside (135)
3742,GO-20181191880,2018-06-30,2018,June,Saturday,181,30,19,Evening,D52,2,1,078,Kensington-Chinatown (78)
3747,GO-20181198918,2018-07-01,2018,July,Sunday,182,1,22,Evening,D14,1,3,078,Kensington-Chinatown (78)
3767,GO-20181341286,2018-07-23,2018,July,Monday,204,23,0,Night,D55,2,13,067,Playter Estates-Danforth (67)
3819,GO-20181622696,2018-09-02,2018,September,Sunday,245,2,1,Night,D42,1,1,146,Malvern East (146)
3848,GO-20181772173,2018-09-24,2018,September,Monday,267,24,20,Evening,D33,1,1,053,Henry Farm (53)
3945,GO-20182320758,2018-12-19,2018,December,Wednesday,353,19,0,Night,D14,1,1,164,Wellington Place (164)
